unique_key,created_date,closed_date,resolution_action_updated_date,status,status_notes,agency_name,category,complaint_type,descriptor,incident_address,supervisor_district,neighborhood,location,source,media_url,latitude,longitude,police_district
934533,2011-08-04 16:31:08+00:00,2011-08-29 11:10:35+00:00,2011-08-29 11:10:35+00:00,Closed,,PUC Sewer Ops,Sewer Issues,Odor,From_side_sewer_vent,"343 14TH AVE, SAN FRANCISCO, CA, 94118",1.0,Inner Richmond,"(37.781724328617, -122.47306306805)",Phone,,37.78172,-122.4731,RICHMOND
8293100,2017-11-20 16:40:43+00:00,2017-12-18 15:10:56+00:00,2017-12-18 15:10:56+00:00,Closed,Maximo Service Request has been resolved,PUC Sewer Ops,Sewer Issues,Odor,From_side_sewer_vent,"655 35TH AVE, SAN FRANCISCO, CA, 94121",1.0,,"(37.776624046, -122.495563107)",Web,http://mobile311.sfgov.org/media/san_francisco/report/photos/5a1375ff524670eb8828c00b/20171120_163400_1_.jpg,37.77665,-122.4955,RICHMOND
5310617,2015-11-23 07:46:49+00:00,2015-11-23 10:11:50+00:00,2015-11-23 10:11:50+00:00,Closed,resolved: Maximo Service Request has been resolved       Add'l Notes:     Cancel DUP SR..work was done at 354 24th ave,PUC Sewer Ops,Sewer Issues,Odor,From_side_sewer_vent,"360 24TH AVE, SAN FRANCISCO, CA, 94121",1.0,,"(37.782808481, -122.483717552)",Mobile/Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/565334dedf86720e87c865e5/report.jpg,37.78289,-122.4839,RICHMOND
2708377,2013-08-13 10:18:24+00:00,2013-08-13 11:14:04+00:00,2013-08-13 11:14:04+00:00,Closed,"resolved: Field Work has been completed       PUC NOTE: Water level dropped below bell causing odor.I brought water level up and added newberry.Spoke to caller,no Vac needed,no debris.",PUC Sewer Ops,Sewer Issues,Odor,From_side_sewer_vent,"1601 BALBOA ST, SAN FRANCISCO, CA, 94121",1.0,Inner Richmond,"(37.776540567223, -122.476159403808)",Phone,,37.77654,-122.4762,RICHMOND
2090915,2013-03-05 11:46:29+00:00,2013-03-05 13:05:24+00:00,2013-03-05 13:05:24+00:00,Closed,resolved: Field Work has been completed checked cb-odorOdor from CB due to missing cookie.I made SRO for new cookie and vac card for cleaning.SS-MS running.,PUC Sewer Ops,Sewer Issues,Odor,From_side_sewer_vent,"423 BALBOA ST, SAN FRANCISCO, CA, 94118",1.0,Inner Richmond,"(37.777012716361, -122.463414237374)",Phone,,37.77701,-122.4634,RICHMOND
5478426,2016-01-19 08:14:36+00:00,2016-01-25 11:15:53+00:00,2016-01-25 11:15:53+00:00,Closed,resolved: Maximo Service Request has been resolved,PUC Sewer Ops,Sewer Issues,Odor,From_side_sewer_vent,"435 24TH AVE, SAN FRANCISCO, CA, 94121",1.0,Outer Richmond,"(37.781379488177, -122.483893920743)",Mobile/Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/569e60d8df86207c03fe3694/report.jpg,37.78134,-122.4839,RICHMOND
7218745,2017-06-03 08:32:07+00:00,2017-06-07 09:18:41+00:00,2017-06-07 09:18:41+00:00,Closed,Maximo Service Request has been resolved,PUC Sewer Ops,Sewer Issues,Odor,From_side_sewer_vent,"252 24TH AVE, SAN FRANCISCO, CA, 94121",1.0,Lake Street,"(37.784813353082, -122.483865501057)",Mobile/Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5932d6711ea562416394b949/report.jpg,37.78468,-122.4839,RICHMOND
5228158,2015-10-27 09:47:34+00:00,2015-10-30 15:15:33+00:00,2015-10-30 15:15:33+00:00,Closed,resolved: Maximo Service Request has been resolved,PUC Sewer Ops,Sewer Issues,Odor,Odor From_catch_basin,"2844 FULTON ST, SAN FRANCISCO, CA, 94118",1.0,Inner Richmond,"(37.773966744287, -122.462420657684)",Web,,37.77397,-122.4624,RICHMOND
1048818,2012-01-22 18:23:11+00:00,2012-01-23 07:13:47+00:00,2012-01-23 07:13:47+00:00,Closed,action taken per notes.,311 Supervisor Queue,Sewer Issues,Odor,Odor From_other_location,"298 9TH AVE, SAN FRANCISCO, CA, 94118",1.0,Inner Richmond,"(37.782861378574, -122.467564061819)",Web,,37.78286,-122.4676,RICHMOND
8313291,2017-11-27 09:25:00+00:00,2017-12-12 11:59:35+00:00,2017-12-12 11:59:35+00:00,Closed,Maximo Service Request has been resolved,PUC Sewer Ops,Sewer Issues,Odor,From_other_location,"1635 LOMBARD ST, SAN FRANCISCO, CA, 94123",2.0,,"(37.800593614, -122.428386908)",Phone,,37.80059,-122.4284,NORTHERN
6929159,2017-03-12 12:15:16+00:00,2017-03-14 11:20:44+00:00,2017-03-14 11:20:44+00:00,Closed,Field Work has been completed.,PUC - Sewer - G,Sewer Issues,Odor,From_other_location,"1050 LAKE ST, SAN FRANCISCO, CA, 94118",2.0,Presidio Terrace,"(37.786517655205, -122.470945634842)",Phone,,37.78652,-122.4709,RICHMOND
6887347,2017-02-28 11:00:41+00:00,2017-04-18 11:47:07+00:00,2017-04-18 11:47:07+00:00,Closed,Maximo Service Request has been resolved,PUC Sewer Ops,Sewer Issues,Odor,From_other_location,"2001 FILLMORE ST, SAN FRANCISCO, CA, 94115",2.0,Lower Pacific Heights,"(37.788086783496, -122.433812682967)",Phone,,37.78809,-122.4338,NORTHERN
5926851,2016-05-31 15:37:26+00:00,2016-06-24 11:20:01+00:00,2016-06-24 11:20:01+00:00,Closed,Maximo Service Request has been resolved,PUC Sewer Ops,Sewer Issues,Odor,Odor From_side_sewer_vent,"1729 LYON ST, SAN FRANCISCO, CA, 94115",2.0,Lower Pacific Heights,"(37.786860009872, -122.445461840698)",Web,,37.78686,-122.4455,RICHMOND
1045510,2012-01-17 13:46:14+00:00,2012-01-24 11:37:00+00:00,2012-01-24 11:37:00+00:00,Closed,,PUC Sewer Ops,Sewer Issues,Odor,From_catch_basin,"830 EL CAMINO DEL MAR, SAN FRANCISCO, CA, 94121",2.0,,"(37.78728659, -122.492642736)",Phone,,37.78728,-122.4926,RICHMOND
3009497,2013-10-31 08:42:41+00:00,2013-10-31 12:13:12+00:00,2013-10-31 12:13:12+00:00,Closed,"resolved: Field Work has been completed       PUC NOTE: The two CBs infront of driveway of #90 West Clay are clear,The CB near the end of private brick driveway full of debris up to bell,looks like a city CB but I don't think a Vactor can  make the tight turn on this narrow driveway.Made Vac card for them to attempt to clean CB.",PUC Sewer Ops,Sewer Issues,Odor,From_catch_basin,"90 WEST CLAY ST, SAN FRANCISCO, CA, 94121",2.0,Lake Street,"(37.786972293887, -122.483942241755)",Mobile/Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/52727a694dd0e8e6ebbb92b1/report.jpg,37.78708,-122.4841,RICHMOND
3855780,2014-07-24 11:53:31+00:00,2014-07-25 10:25:43+00:00,2014-07-25 10:25:43+00:00,Closed,resolved: Maximo Service Request has been resolved.,PUC Sewer Ops,Sewer Issues,Odor,From_catch_basin,Intersection of FRANCISCO ST and RICHARDSON AVE,2.0,Marina,"(37.8003858669176, -122.447130687031)",Phone,,37.80038,-122.4471,NORTHERN
5107685,2015-09-18 06:59:47+00:00,2015-09-21 07:44:42+00:00,2015-09-21 07:44:42+00:00,Closed,"resolved: Field Work has been completed.       Add'l Notes:     No odor present at both sites. Checked all CB and MH, all clean - no odor.&#xD; gas detector readings - all zeros.",PUC Sewer Ops,Sewer Issues,Odor,From_other_location,Intersection of ANZAVISTA AVE and VEGA ST,2.0,Anza Vista,"(37.78012498819, -122.445440074589)",Phone,,37.78012,-122.4454,PARK
6515626,2016-11-09 18:37:30+00:00,2016-11-11 10:47:53+00:00,2016-11-11 10:47:53+00:00,Closed,Field Work has been completed.       Add'l Notes:     No odor found at location of pine @ divisadero No odor found at location of pine @ divisadero cked m/h and c/b's.,PUC Sewer Ops,Sewer Issues,Odor,From_other_location,"22 WOOD ST, SAN FRANCISCO, CA, 94118",2.0,Laurel Heights / Jordan Park,"(37.783611401073, -122.449197136971)",Phone,,37.78361,-122.4492,RICHMOND
6605650,2016-12-07 15:13:51+00:00,2017-04-13 13:04:36+00:00,2017-04-13 13:04:36+00:00,Closed,Maximo Service Request has been resolved,PUC Sewer Ops,Sewer Issues,Odor,From_catch_basin,Intersection of 19TH AVE and LAKE ST,2.0,Lake Street,"(37.7860312202267, -122.478713540603)",Phone,,37.78603,-122.4787,RICHMOND
2737386,2013-08-21 09:56:06+00:00,2013-08-21 10:40:45+00:00,2013-08-21 10:40:45+00:00,Closed,resolved: Field Work has been completed       PUC NOTE: I checked the cb's in the intersection and they do not need to be cleaned at this time. I poured newberry into the cb's. I did not smell any odor but deodorized them anyway. There are no mosquitos in the cb's. No further action is needed at this time.,PUC Sewer Ops,Sewer Issues,Odor,From_catch_basin,Intersection of CHESTNUT ST and OCTAVIA ST,2.0,Marina,"(37.8016538450644, -122.429666971256)",Mobile/Open311,,37.80174,-122.4297,NORTHERN
4226789,2014-11-20 10:07:44+00:00,2014-12-01 10:26:45+00:00,2014-12-01 10:26:45+00:00,Closed,resolved: Maximo Service Request has been resolved.,PUC Sewer Ops,Sewer Issues,Odor,From_manhole_cover,"2800 BROADWAY, SAN FRANCISCO, CA, 94115",2.0,Pacific Heights,"(37.79332782948, -122.443389348023)",Phone,,37.79333,-122.4434,NORTHERN
2780528,2013-09-02 16:13:48+00:00,,2013-09-02 16:22:08+00:00,Open,Open,PUC - Sewer - G,Sewer Issues,Odor,From_other_location,"1756 BAY ST, SAN FRANCISCO, CA, 94123",2.0,,"(37.803049313, -122.435983994)",Phone,,37.80305,-122.436,NORTHERN
6495687,2016-11-04 10:41:28+00:00,2016-12-21 09:34:16+00:00,2016-12-21 09:34:16+00:00,Closed,Maximo Service Request has been resolved,PUC Sewer Ops,Sewer Issues,Odor,From_other_location,"1740 LAKE ST, SAN FRANCISCO, CA, 94121",2.0,Lake Street,"(37.786170914574, -122.47851537196)",Phone,,37.78617,-122.4785,RICHMOND
6209346,2016-08-18 09:17:14+00:00,2016-08-19 14:17:02+00:00,2016-08-19 14:17:02+00:00,Closed,See Notes page.,311 Supervisor Queue,Sewer Issues,Odor,From_other_location,"1834 TAYLOR RD, SAN FRANCISCO, CA, 94133",2.0,Presidio National Park,"(37.799566190649, -122.460654077181)",Mobile/Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/57b5df82df8641c19f4a961e/report.jpg,37.79926,-122.414,
3875810,2014-07-31 10:24:05+00:00,2014-08-05 10:11:29+00:00,2014-08-05 10:11:29+00:00,Closed,resolved: Maximo Service Request has been resolved.,PUC Sewer Ops,Sewer Issues,Odor,From_side_sewer_vent,"2140 JEFFERSON ST, SAN FRANCISCO, CA, 94123",2.0,Fisherman's Wharf,"(37.8076, -122.421)",Phone,,37.8076,-122.421,CENTRAL
4286122,2014-12-09 13:10:55+00:00,2014-12-16 13:47:51+00:00,2014-12-16 13:47:51+00:00,Closed,resolved: Maximo Service Request has been resolved.,PUC Sewer Ops,Sewer Issues,Odor,From_side_sewer_vent,"121 MALLORCA WAY, SAN FRANCISCO, CA, 94123",2.0,,"(37.801697225, -122.437643356)",Mobile/Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54876558df86c2f05a6dc407/report.jpg,37.80179,-122.4375,NORTHERN
900423,2011-06-14 12:13:20+00:00,2011-06-15 07:01:00+00:00,2011-06-15 07:01:00+00:00,Closed,Per Sewer Ops Duplicate,311 Supervisor Queue,Sewer Issues,Odor,From_catch_basin,"38 HOTALING PL, SAN FRANCISCO, CA, 94111",3.0,North Beach,"(37.7961, -122.403)",Phone,,37.7961,-122.403,CENTRAL
