call_number,unit_id,incident_number,call_type,call_date,watch_date,received_timestamp,entry_timestamp,dispatch_timestamp,response_timestamp,on_scene_timestamp,transport_timestamp,hospital_timestamp,call_final_disposition,available_timestamp,address,city,zipcode_of_incident,battalion,station_area,box,original_priority,priority,final_priority,als_unit,call_type_group,number_of_alarms,unit_type,unit_sequence_in_call_dispatch,fire_prevention_district,supervisor_district,neighborhood_district,location,row_id,latitude,longitude
53230076,M29,5087202,Medical Incident,2005-11-19,2005-11-18,2005-11-19 07:24:13+00:00,2005-11-19 07:25:11+00:00,2005-11-19 07:26:14+00:00,2005-11-19 07:27:57+00:00,2005-11-19 07:29:23+00:00,2005-11-19 07:46:25+00:00,2005-11-19 08:14:03+00:00,Code 2 Transport,2005-11-19 08:17:52+00:00,ALAMEDA ST/SAN BRUNO AV,SF,94103,B10,29,,3,3,3,True,,1,MEDIC,1,2,10,,"(37.7684733919631, -122.405827564891)",053230076-M29,37.7684733919631,-122.405827564891
60100339,M14,6002862,Structure Fire,2006-01-10,2006-01-10,2006-01-10 19:44:46+00:00,2006-01-10 19:45:39+00:00,2006-01-10 19:46:06+00:00,,2006-01-10 20:10:16+00:00,,,Other,2006-01-10 21:03:59+00:00,400 Block of 20TH AVE,SF,94121,B07,14,,3,3,3,True,,2,MEDIC,19,7,1,,"(37.7793747233139, -122.479242794814)",060100339-M14,37.7793747233139,-122.479242794814
53010409,RC4,5081267,Traffic Collision,2005-10-28,2005-10-28,2005-10-28 22:47:52+00:00,2005-10-28 22:48:57+00:00,2005-10-28 22:50:09+00:00,2005-10-28 22:55:18+00:00,2005-10-28 23:00:42+00:00,,,Other,2005-10-28 23:12:28+00:00,400 Block of HAMILTON ST,SF,94134,B10,42,,3,3,3,True,,1,RESCUE CAPTAIN,3,9,9,,"(37.7254667327006, -122.409342802528)",053010409-RC4,37.7254667327006,-122.409342802528
53530027,M32,5095840,Medical Incident,2005-12-19,2005-12-18,2005-12-19 03:10:33+00:00,2005-12-19 03:10:53+00:00,2005-12-19 03:11:05+00:00,2005-12-19 03:12:19+00:00,2005-12-19 03:15:23+00:00,2005-12-19 03:32:28+00:00,2005-12-19 03:50:15+00:00,Code 2 Transport,2005-12-19 04:03:03+00:00,800 Block of CORTLAND AVE,SF,94110,B06,32,,2,2,2,True,,1,MEDIC,1,6,9,,"(37.7389606166793, -122.41425511299)",053530027-M32,37.7389606166793,-122.41425511299
53310271,M13,5089530,Medical Incident,2005-11-27,2005-11-27,2005-11-27 19:06:48+00:00,2005-11-27 19:08:30+00:00,2005-11-27 19:08:44+00:00,2005-11-27 19:09:41+00:00,2005-11-27 19:12:35+00:00,2005-11-27 19:27:01+00:00,,Code 2 Transport,2005-11-27 20:03:28+00:00,100 Block of STEUART ST,SF,94105,B03,35,,E,E,3,True,,1,MEDIC,2,3,6,,"(37.7926568376756, -122.39236449327)",053310271-M13,37.7926568376756,-122.39236449327
53060367,T07,5082674,Structure Fire,2005-11-02,2005-11-02,2005-11-02 22:25:12+00:00,2005-11-02 22:26:15+00:00,2005-11-02 22:26:28+00:00,2005-11-02 22:27:57+00:00,2005-11-02 22:29:45+00:00,,,Other,2005-11-02 22:56:28+00:00,17TH ST/POTRERO AV,SF,94110,B02,29,,3,3,3,False,,1,TRUCK,4,2,10,,"(37.764487829529, -122.407419738574)",053060367-T07,37.764487829529,-122.407419738574
53050198,E05,5082292,Medical Incident,2005-11-01,2005-11-01,2005-11-01 11:03:23+00:00,2005-11-01 11:04:35+00:00,2005-11-01 11:05:10+00:00,2005-11-01 11:28:44+00:00,2005-11-01 11:32:54+00:00,,,Other,2005-11-01 11:41:35+00:00,1100 Block of MARKET ST,SF,94102,B02,01,,3,3,3,True,,1,ENGINE,2,2,6,,"(37.7796660426062, -122.41371122073)",053050198-E05,37.7796660426062,-122.41371122073
53430131,E03,5092766,Medical Incident,2005-12-09,2005-12-09,2005-12-09 10:09:57+00:00,2005-12-09 10:11:55+00:00,2005-12-09 10:12:28+00:00,,,,,Other,2005-12-09 10:14:37+00:00,1700 Block of POST ST,SF,94115,B04,05,,3,3,3,True,,1,ENGINE,4,4,5,,"(37.7854139465586, -122.430564088684)",053430131-E03,37.7854139465586,-122.430564088684
53640352,B06,5099170,Electrical Hazard,2005-12-30,2005-12-30,2005-12-30 22:39:35+00:00,2005-12-30 22:40:21+00:00,2005-12-30 22:40:27+00:00,2005-12-30 22:41:41+00:00,2005-12-30 22:46:33+00:00,,,Fire,2005-12-30 23:19:52+00:00,900 Block of CORBETT AVE,SF,94131,B06,24,,3,3,3,False,,1,CHIEF,1,6,8,,"(37.7520477764225, -122.443546814787)",053640352-B06,37.7520477764225,-122.443546814787
60090287,E01,6002568,Medical Incident,2006-01-09,2006-01-09,2006-01-09 17:22:54+00:00,2006-01-09 17:23:02+00:00,2006-01-09 17:23:05+00:00,2006-01-09 17:25:07+00:00,2006-01-09 17:26:14+00:00,2006-01-09 17:35:30+00:00,2006-01-09 18:04:43+00:00,Other,2006-01-09 18:20:36+00:00,FREMONT ST/NATOMA ST,SF,94105,B03,35,,3,3,3,True,,1,ENGINE,2,3,6,,"(37.7896604475978, -122.395685124728)",060090287-E01,37.7896604475978,-122.395685124728
60070145,E01,6001911,Vehicle Fire,2006-01-07,2006-01-07,2006-01-07 11:22:53+00:00,2006-01-07 11:24:19+00:00,2006-01-07 11:24:28+00:00,2006-01-07 11:34:28+00:00,,,,Other,2006-01-07 11:34:51+00:00,CALL BOX: FS YB-BLDG 213,SF,94130,B03,48,,3,3,3,True,,1,ENGINE,5,None,6,,"(37.8105207225206, -122.365138272289)",060070145-E01,37.8105207225206,-122.365138272289
53570217,E42,5097190,Structure Fire,2005-12-23,2005-12-23,2005-12-23 14:59:53+00:00,2005-12-23 15:00:57+00:00,2005-12-23 15:01:16+00:00,2005-12-23 15:02:23+00:00,2005-12-23 15:06:59+00:00,,,Other,2005-12-23 15:13:28+00:00,100 Block of NEY ST,SF,94112,B09,32,,3,3,3,False,,1,ENGINE,7,9,11,,"(37.7300237012749, -122.427201731646)",053570217-E42,37.7300237012749,-122.427201731646
53310271,E35,5089530,Medical Incident,2005-11-27,2005-11-27,2005-11-27 19:06:48+00:00,2005-11-27 19:08:30+00:00,2005-11-27 19:08:44+00:00,2005-11-27 19:10:19+00:00,2005-11-27 19:11:07+00:00,,,Other,2005-11-27 19:13:36+00:00,100 Block of STEUART ST,SF,94105,B03,35,,E,E,3,False,,1,ENGINE,1,3,6,,"(37.7926568376756, -122.39236449327)",053310271-E35,37.7926568376756,-122.39236449327
53550367,E36,5096646,Alarms,2005-12-21,2005-12-21,2005-12-21 19:53:12+00:00,2005-12-21 19:54:56+00:00,2005-12-21 19:55:10+00:00,2005-12-21 19:56:20+00:00,2005-12-21 19:57:48+00:00,,,Other,2005-12-21 20:02:22+00:00,100 Block of GOUGH ST,SF,94102,B02,36,,3,3,3,False,,1,ENGINE,2,2,5,,"(37.7743091709053, -122.422522963231)",053550367-E36,37.7743091709053,-122.422522963231
53390375,E17,5091814,Outside Fire,2005-12-05,2005-12-05,2005-12-05 23:19:00+00:00,2005-12-05 23:20:02+00:00,2005-12-05 23:20:37+00:00,2005-12-05 23:22:45+00:00,2005-12-05 23:25:15+00:00,,,Fire,2005-12-05 23:31:17+00:00,3RD ST/MCKINNON AV,SF,94124,B10,17,,3,3,3,True,,1,ENGINE,1,10,10,,"(37.7363901964496, -122.390145053188)",053390375-E17,37.7363901964496,-122.390145053188
60080269,E28,6002304,Medical Incident,2006-01-08,2006-01-08,2006-01-08 18:33:00+00:00,2006-01-08 18:35:04+00:00,2006-01-08 18:35:40+00:00,2006-01-08 18:36:33+00:00,,2006-01-08 18:39:17+00:00,,Other,2006-01-08 18:46:34+00:00,1000 Block of THE EMBARCADERO,SF,94111,B01,13,,3,3,3,True,,1,ENGINE,2,1,3,,"(37.8025675142519, -122.400381980995)",060080269-E28,37.8025675142519,-122.400381980995
53060367,RS2,5082674,Structure Fire,2005-11-02,2005-11-02,2005-11-02 22:25:12+00:00,2005-11-02 22:26:15+00:00,2005-11-02 22:26:28+00:00,2005-11-02 22:27:36+00:00,2005-11-02 22:29:12+00:00,,,Other,2005-11-02 22:40:24+00:00,17TH ST/POTRERO AV,SF,94110,B02,29,,3,3,3,False,,1,RESCUE SQUAD,2,2,10,,"(37.764487829529, -122.407419738574)",053060367-RS2,37.764487829529,-122.407419738574
53170022,RC4,5085465,Medical Incident,2005-11-13,2005-11-12,2005-11-13 01:43:16+00:00,2005-11-13 01:44:37+00:00,2005-11-13 01:44:47+00:00,,2005-11-13 01:49:24+00:00,,,Other,2005-11-13 01:54:38+00:00,DELANO AV/OCEAN AV,SF,94112,B09,15,,3,3,3,True,,1,RESCUE CAPTAIN,2,9,11,,"(37.7230850503208, -122.44327377707)",053170022-RC4,37.7230850503208,-122.44327377707
53310158,E31,5089443,Medical Incident,2005-11-27,2005-11-27,2005-11-27 12:27:47+00:00,2005-11-27 12:32:03+00:00,2005-11-27 12:32:30+00:00,2005-11-27 12:37:49+00:00,2005-11-27 12:39:33+00:00,,,Other,2005-11-27 12:53:38+00:00,8TH AV/GEARY BL,SF,94118,B07,31,,3,3,3,True,,1,ENGINE,2,7,1,,"(37.7809245879397, -122.466426902852)",053310158-E31,37.7809245879397,-122.466426902852
53010409,M17,5081267,Traffic Collision,2005-10-28,2005-10-28,2005-10-28 22:47:52+00:00,2005-10-28 22:48:57+00:00,2005-10-28 22:50:09+00:00,2005-10-28 22:51:47+00:00,,2005-10-28 23:02:38+00:00,2005-10-28 23:17:39+00:00,Code 2 Transport,2005-10-28 23:46:38+00:00,400 Block of HAMILTON ST,SF,94134,B10,42,,3,3,3,True,,1,MEDIC,5,9,9,,"(37.7254667327006, -122.409342802528)",053010409-M17,37.7254667327006,-122.409342802528
53650556,M36,5099642,Medical Incident,2005-12-31,2005-12-31,2005-12-31 23:47:07+00:00,2005-12-31 23:48:43+00:00,2005-12-31 23:48:50+00:00,2005-12-31 23:49:20+00:00,2005-12-31 23:52:34+00:00,,,Other,2005-12-31 23:55:19+00:00,2000 Block of VAN NESS AVE,SF,94109,B04,41,,3,3,3,True,,1,MEDIC,2,4,3,,"(37.7943979367838, -122.422967119552)",053650556-M36,37.7943979367838,-122.422967119552
90400220,94,9011988,Structure Fire,2009-02-09,2009-02-09,2009-02-09 13:06:51+00:00,2009-02-09 13:06:54+00:00,2009-02-09 13:07:39+00:00,2009-02-09 13:07:54+00:00,2009-02-09 13:12:14+00:00,,,Other,2009-02-09 13:18:04+00:00,300 Block of BROADWAY,SF,94133,B01,13,0123,3,3,3,True,,1,MEDIC,7,1,3,,"(37.798349938239, -122.403307985807)",090400220-94,37.798349938239,-122.403307985807
12750179,B01,1084242,Structure Fire,2001-10-02,2001-10-02,2001-10-02 10:41:24+00:00,2001-10-02 10:41:24+00:00,2001-10-02 10:41:35+00:00,,,,,Other,2001-10-02 10:43:07+00:00,300 Block of BROADWAY,SF,94133,B01,13,0123,3,3,3,False,,1,CHIEF,3,1,3,,"(37.798349938239, -122.403307985807)",012750179-B01,37.798349938239,-122.403307985807
92780295,E13,9083323,Structure Fire,2009-10-05,2009-10-05,2009-10-05 18:06:56+00:00,2009-10-05 18:06:57+00:00,2009-10-05 18:07:06+00:00,2009-10-05 18:08:13+00:00,2009-10-05 18:10:06+00:00,,,Other,2009-10-05 18:15:16+00:00,600 Block of MERCHANT ST,SF,94111,B01,13,0124,3,3,3,True,,1,ENGINE,1,1,3,,"(37.7949086758744, -122.404037735679)",092780295-E13,37.7949086758744,-122.404037735679
90020198,T13,9000567,Alarms,2009-01-02,2009-01-02,2009-01-02 14:42:15+00:00,2009-01-02 14:43:15+00:00,2009-01-02 14:43:35+00:00,2009-01-02 14:45:04+00:00,,,,Other,2009-01-02 14:47:42+00:00,600 Block of MERCHANT ST,SF,94111,B01,13,0124,3,3,3,False,,1,TRUCK,4,1,3,,"(37.7949086758744, -122.404037735679)",090020198-T13,37.7949086758744,-122.404037735679
90270103,B01,9008037,Alarms,2009-01-27,2009-01-27,2009-01-27 09:46:26+00:00,2009-01-27 09:47:17+00:00,2009-01-27 09:47:25+00:00,,,,,Other,2009-01-27 09:48:37+00:00,400 Block of FILBERT ST,SF,94133,B01,28,0126,3,3,3,False,,1,CHIEF,1,1,3,,"(37.8018046785455, -122.406418120773)",090270103-B01,37.8018046785455,-122.406418120773
10150259,T02,1004663,Structure Fire,2001-01-15,2001-01-15,2001-01-15 16:41:50+00:00,2001-01-15 16:41:50+00:00,2001-01-15 16:41:56+00:00,2001-01-15 16:43:25+00:00,,,,Other,2001-01-15 16:48:52+00:00,400 Block of FILBERT ST,SF,94133,B01,28,0126,3,3,3,False,,1,TRUCK,3,1,3,,"(37.8018046785455, -122.406418120773)",010150259-T02,37.8018046785455,-122.406418120773
110460337,T02,11015362,Structure Fire,2011-02-15,2011-02-15,2011-02-15 21:44:02+00:00,2011-02-15 21:44:02+00:00,2011-02-15 21:44:38+00:00,2011-02-15 21:46:11+00:00,,,,Other,2011-02-15 21:49:44+00:00,400 Block of FILBERT ST,SF,94133,B01,28,0126,3,3,3,False,,1,TRUCK,3,1,3,,"(37.8018046785455, -122.406418120773)",110460337-T02,37.8018046785455,-122.406418120773
102560092,B01,10080825,Structure Fire,2010-09-13,2010-09-13,2010-09-13 09:38:28+00:00,2010-09-13 09:38:31+00:00,2010-09-13 09:39:23+00:00,,,,,Other,2010-09-13 09:40:59+00:00,400 Block of FILBERT ST,SF,94133,B01,28,0126,3,3,3,False,,1,CHIEF,1,1,3,,"(37.8018046785455, -122.406418120773)",102560092-B01,37.8018046785455,-122.406418120773
92370131,B01,9070194,Structure Fire,2009-08-25,2009-08-25,2009-08-25 10:43:41+00:00,2009-08-25 10:43:47+00:00,2009-08-25 10:44:03+00:00,2009-08-25 10:44:20+00:00,,,,Other,2009-08-25 10:48:13+00:00,400 Block of FILBERT ST,SF,94133,B01,28,0126,3,3,3,False,,1,CHIEF,3,1,3,,"(37.8018046785455, -122.406418120773)",092370131-B01,37.8018046785455,-122.406418120773
40720428,E28,4020745,Structure Fire,2004-03-12,2004-03-12,2004-03-12 22:50:31+00:00,2004-03-12 22:50:31+00:00,2004-03-12 22:50:53+00:00,2004-03-12 22:52:29+00:00,2004-03-12 22:53:28+00:00,,,Other,2004-03-12 23:02:47+00:00,400 Block of FILBERT ST,SF,94133,B01,28,0126,3,3,3,True,,1,ENGINE,3,1,3,,"(37.8016501276831, -122.406745753507)",040720428-E28,37.8016501276831,-122.406745753507
92790130,E28,9083480,Alarms,2009-10-06,2009-10-06,2009-10-06 10:46:37+00:00,2009-10-06 10:47:01+00:00,2009-10-06 10:47:44+00:00,,,,,Fire,2009-10-06 10:52:12+00:00,400 Block of FILBERT ST,SF,94133,B01,28,0126,3,3,3,False,,1,ENGINE,1,1,3,,"(37.8018046785455, -122.406418120773)",092790130-E28,37.8018046785455,-122.406418120773
60540012,E28,6014920,Structure Fire,2006-02-23,2006-02-22,2006-02-23 01:46:29+00:00,2006-02-23 01:46:29+00:00,2006-02-23 01:46:38+00:00,2006-02-23 01:48:41+00:00,2006-02-23 01:50:30+00:00,,,Other,2006-02-23 02:25:10+00:00,400 Block of FILBERT ST,SF,94133,B01,28,0126,3,3,3,True,,1,ENGINE,1,1,3,,"(37.8018046785455, -122.406418120773)",060540012-E28,37.8018046785455,-122.406418120773
32030227,E02,3058451,Structure Fire,2003-07-22,2003-07-22,2003-07-22 13:39:00+00:00,2003-07-22 13:39:00+00:00,2003-07-22 13:39:33+00:00,2003-07-22 13:40:25+00:00,2003-07-22 13:43:18+00:00,,,Other,2003-07-22 13:52:24+00:00,400 Block of FILBERT ST,SF,94133,B01,28,0126,3,3,3,False,,1,ENGINE,1,1,3,,"(37.8018046785455, -122.406418120773)",032030227-E02,37.8018046785455,-122.406418120773
112700086,E28,11089147,Alarms,2011-09-27,2011-09-27,2011-09-27 10:05:33+00:00,2011-09-27 10:05:56+00:00,2011-09-27 10:06:07+00:00,2011-09-27 10:07:40+00:00,2011-09-27 10:10:17+00:00,,,Other,2011-09-27 10:12:58+00:00,400 Block of FILBERT ST,SF,94133,B01,28,0126,3,3,3,False,,1,ENGINE,1,1,3,,"(37.8018046785455, -122.406418120773)",112700086-E28,37.8018046785455,-122.406418120773
10150259,E28,1004663,Structure Fire,2001-01-15,2001-01-15,2001-01-15 16:41:50+00:00,2001-01-15 16:41:50+00:00,2001-01-15 16:41:56+00:00,2001-01-15 16:42:34+00:00,2001-01-15 16:44:54+00:00,,,Other,2001-01-15 16:48:52+00:00,400 Block of FILBERT ST,SF,94133,B01,28,0126,3,3,3,False,,1,ENGINE,2,1,3,,"(37.8018046785455, -122.406418120773)",010150259-E28,37.8018046785455,-122.406418120773
111430193,E28,11047534,Structure Fire,2011-05-23,2011-05-23,2011-05-23 13:21:58+00:00,2011-05-23 13:21:58+00:00,2011-05-23 13:22:07+00:00,,2011-05-23 13:22:50+00:00,,,Other,2011-05-23 13:23:47+00:00,400 Block of FILBERT ST,SF,94133,B01,28,0126,3,3,3,False,,1,ENGINE,1,1,3,,"(37.8018046785455, -122.406418120773)",111430193-E28,37.8018046785455,-122.406418120773
41050119,E28,4029819,Fuel Spill,2004-04-14,2004-04-14,2004-04-14 10:05:15+00:00,2004-04-14 10:07:32+00:00,2004-04-14 10:08:39+00:00,2004-04-14 10:09:26+00:00,2004-04-14 10:10:22+00:00,,,Other,2004-04-14 10:13:21+00:00,400 Block of FILBERT ST,SF,94133,B01,28,0126,3,3,3,True,,1,ENGINE,1,1,3,,"(37.8016963116239, -122.406395429992)",041050119-E28,37.8016963116239,-122.406395429992
90270103,E28,9008037,Alarms,2009-01-27,2009-01-27,2009-01-27 09:46:26+00:00,2009-01-27 09:47:17+00:00,2009-01-27 09:47:25+00:00,,,,,Other,2009-01-27 09:48:23+00:00,400 Block of FILBERT ST,SF,94133,B01,28,0126,3,3,3,True,,1,ENGINE,3,1,3,,"(37.8018046785455, -122.406418120773)",090270103-E28,37.8018046785455,-122.406418120773
103090122,T02,10098990,Other,2010-11-05,2010-11-05,2010-11-05 09:54:13+00:00,2010-11-05 09:55:24+00:00,2010-11-05 09:55:58+00:00,,,,,Other,2010-11-05 09:57:18+00:00,400 Block of FILBERT ST,SF,94133,B01,28,0126,3,3,3,False,,1,TRUCK,3,1,3,,"(37.8018046785455, -122.406418120773)",103090122-T02,37.8018046785455,-122.406418120773
32030227,T02,3058451,Structure Fire,2003-07-22,2003-07-22,2003-07-22 13:39:00+00:00,2003-07-22 13:39:00+00:00,2003-07-22 13:39:33+00:00,2003-07-22 13:40:37+00:00,2003-07-22 13:43:13+00:00,,,Other,2003-07-22 13:48:58+00:00,400 Block of FILBERT ST,SF,94133,B01,28,0126,3,3,3,False,,1,TRUCK,2,1,3,,"(37.8018046785455, -122.406418120773)",032030227-T02,37.8018046785455,-122.406418120773
82700110,T02,8082703,Alarms,2008-09-26,2008-09-26,2008-09-26 09:57:09+00:00,2008-09-26 09:57:42+00:00,2008-09-26 09:58:18+00:00,,,,,Other,2008-09-26 10:02:37+00:00,400 Block of FILBERT ST,SF,94133,B01,28,0126,3,3,3,False,,1,TRUCK,3,1,3,,"(37.8018046785455, -122.406418120773)",082700110-T02,37.8018046785455,-122.406418120773
20390243,AR1,2011539,Outside Fire,2002-02-08,2002-02-08,2002-02-08 13:28:42+00:00,2002-02-08 13:30:20+00:00,2002-02-08 13:30:39+00:00,,,,,Other,2002-02-08 13:31:12+00:00,2100 Block of POWELL ST,SF,94133,B01,28,0131,3,3,3,False,,1,INVESTIGATION,1,1,3,,"(37.8044382972452, -122.411605476142)",020390243-AR1,37.8044382972452,-122.411605476142
111450183,B01,11048179,Alarms,2011-05-25,2011-05-25,2011-05-25 14:20:52+00:00,2011-05-25 14:22:28+00:00,2011-05-25 14:22:41+00:00,2011-05-25 14:24:52+00:00,2011-05-25 14:27:57+00:00,,,Other,2011-05-25 14:28:16+00:00,2300 Block of POWELL ST,SF,94133,B01,28,0131,3,3,3,False,,1,CHIEF,3,1,3,,"(37.8063003263418, -122.411977425936)",111450183-B01,37.8063003263418,-122.411977425936
110230284,B01,11007674,Structure Fire,2011-01-23,2011-01-23,2011-01-23 19:40:22+00:00,2011-01-23 19:40:22+00:00,2011-01-23 19:40:29+00:00,2011-01-23 19:41:30+00:00,,,,Other,2011-01-23 19:44:34+00:00,2100 Block of POWELL ST,SF,94133,B01,28,0131,3,3,3,False,,1,CHIEF,3,1,3,,"(37.8044382972452, -122.411605476142)",110230284-B01,37.8044382972452,-122.411605476142
100550032,B01,10016783,Alarms,2010-02-24,2010-02-23,2010-02-24 04:17:51+00:00,2010-02-24 04:18:59+00:00,2010-02-24 04:19:15+00:00,2010-02-24 04:21:28+00:00,2010-02-24 04:25:33+00:00,,,Other,2010-02-24 04:25:46+00:00,0 Block of VANDEWATER ST,SF,94133,B01,28,0131,3,3,3,False,,1,CHIEF,3,1,3,,"(37.8052024497873, -122.41267659773)",100550032-B01,37.8052024497873,-122.41267659773
82180143,B01,8067103,Structure Fire,2008-08-05,2008-08-05,2008-08-05 10:32:11+00:00,2008-08-05 10:33:37+00:00,2008-08-05 10:33:51+00:00,2008-08-05 10:34:20+00:00,2008-08-05 10:37:09+00:00,,,Other,2008-08-05 10:47:14+00:00,300 Block of FRANCISCO ST,SF,94133,B01,28,0131,3,3,3,False,,1,CHIEF,5,1,3,,"(37.8051297171654, -122.41032425533)",082180143-B01,37.8051297171654,-122.41032425533
42580032,M28,4071466,Medical Incident,2004-09-14,2004-09-13,2004-09-14 04:16:14+00:00,2004-09-14 04:17:46+00:00,2004-09-14 04:17:55+00:00,2004-09-14 04:19:44+00:00,2004-09-14 04:21:37+00:00,2004-09-14 04:31:56+00:00,2004-09-14 04:50:03+00:00,Other,2004-09-14 04:56:57+00:00,0 Block of VANDEWATER ST,SF,94133,B01,A1,0131,1,1,2,True,,1,MEDIC,1,1,3,,"(37.8053109379125, -122.412698359147)",042580032-M28,37.8053109379125,-122.412698359147
101400077,B01,10043691,Alarms,2010-05-20,2010-05-20,2010-05-20 08:46:20+00:00,2010-05-20 08:47:23+00:00,2010-05-20 08:47:35+00:00,2010-05-20 08:48:11+00:00,,,,Other,2010-05-20 08:55:32+00:00,2300 Block of POWELL ST,SF,94133,B01,28,0131,3,3,3,False,,1,CHIEF,3,1,3,,"(37.8063003263418, -122.411977425936)",101400077-B01,37.8063003263418,-122.411977425936
